id,Word,meaning
115,آرام‌آرام," آهسته‌آهسته، باطمانینه، بتدریج، تدریجا، شمرده‌شمرده، کم‌کم، یواش‌یواش"
116,آرام‌بخش," آرامش‌بخش، تسکین‌دهنده، تسلابخش، قراربخش، مسکن"
117,آرامش,"  آسایش، آسودگی، استراحت، راحت، راحتی، فراغ‌بال، فراغت ، آشتی، صلح، صلحجویی، مسالمت ، آرام، تسکین، سکون، قرار ، امان، امنیت، ایمنی ، سکینه، طمانینه ، آشوب، بلوا"
118,آرامش‌طلب," آرامش‌جو، آرامش‌خواه، سازشکار، سازشگر، صلح‌جو، صلحدوست ، ستیزه‌جو، عربده‌جو"
119,آرامگاه," تربت، خاک، خاکجا، ضریح، قبر، گور، لحد، مثوی، مدفن، مرقد، مزار، مقبره"
120,آرایش,"  بزک، توالت ، حلیه، زیب، زینت، زیور ، آذین، تزیین ، پیرایه، چهره‌آرایی، گریم ، پیرایش"
121,آرایشگاه," پیرایشگاه، حلاق، سلمانی"
122,آرایشگر,"  آراینده ، چهره‌آرا، مشاطه ، پیرایشگر، حلاق، سرتراش، سلمانی"
123,آرتیست," آکتور، بازیگر، ستاره، هنرپیشه، هنرمند"
124,آرزو," آرمان، اشتیاق، امل، امید، انتظار، بویه، تمایل، تمنا، چشمداشت، خواست، خواهش، رجا، رغبت، شوق، غبطه، کام، گرایش، مراد، مطمع، مقصود، منیه، میل، وایه، هوی"
125,آرزومند," امیدوار، خواستار، راجی، راغب، شایق، عاشق، متمنی، متوقع، مسئلت، مشتاق، منتظر، هواخواه"
126,آرزومندانه," امیدوارانه، بارغبت، عاشقانه، مشتاقانه"
127,آرزومندی,"  اشتیاق، رغبت، شوق، میل ، تعشق، شیفتگی، عاشقی، هواداری ، تحسر، حسرت"
128,آرشیو," بایگانی، پرونده، ضبط، مرکزاسناد"
129,آرم," علامت، مدال، نشان"
130,آرمان,"  ایده، ایده‌آل، شعار، مرام، هدف ، نصب‌العین ، آرزو، امید ، اندوه، حسرت، غم"
131,آرمش," آمیزش، آمیغ، جماع، مخالطت"
132,آرمیدن,"  مقاربت ، آرامیدن، آسودن، خفتن، غنودن"
133,آرمیده," آسوده، خفته، غنوده"
134,آرنج," آرنگ، مرفق، وارن، وارنگ"
135,آرواره, فک
136,آروین," آزمایش، آزمون، امتحان، تجربه"
137,آره," آری، بلی، بله، نعم، ها ، خیر، نه"
138,آری," آره، بله، بلی، لبیک، نعم ، خیر، نه"
139,آز,"  افزون‌طلبی، حرص، زیاده‌خواهی، شره، طمع، ولع ، احتیاج، حاجت، نیاز ، قناعت"
140,آزاد," آزاده، حر، خلاص، رها، سبکبار، فارغ، مخیر، مختار، مرخص، مستقل، مستخلص، وارسته، ول ، اسیر، برده، بنده، غیرمستقل، گرفتار"
141,آزادانه,"  مستقلا ، مختارانه ، حروار"
142,آزادراه," اتوبان، بزرگراه، شاهراه"
143,آزادگی," آزادمنشی، اختیار، اصالت، جوانمردی، حریت، وارستگی ، اسارت، بندگی"
144,آزادمنشی," آزادگی، حریت، وارستگی"
145,آزاده," آزاد، حر، رها، شریف، فارغ، فتا، مختار، وارسته ، بنده، عبد"
146,آزادی,"  استخلاص، استقلال، خلاص، خلاصی، رهایش، رهایی، نجات ، اختیار ، حریت ، فراغت ، اسارت، بندگی، رقیت"
147,آزار,"  آسیب، بلا، صدمه، گزند ، تعدی، جفا، جور، ستم، ظلم ، اذیت، تعذیب، زجر، شکنجه، عذاب ، تعب، سختی، محنت، مرارت، مشقت ، تاذی، مزاحمت ، رنج، رنجه، عنا"
148,آزارنده,"  آزاررسان، موذی ، الیم، دردناک"
149,آزپیشگی," آزمندی، حرص، طمع ، قناعت"
150,آزپیشه," آزمند، آزور، حریص، طماع، طمع‌کار ، قانع"
151,آزخ," بالو، زگیل"
152,آزردگی," افسردگی، رنجش، رنجیدگی، ملال، ملالت، نژندی"
153,آزردن," آزاردادن، اذیت‌کردن، افسردن، خستن، رنجاندن ، نواختن"
154,آزرده," افسرده، اندوهگین، دلتنگ، دلگیر، رنجیده، غمگین، غمناک، مجروح، مکدر، ملول، نژند ، شاد"
155,آزرده‌خاطر," دلخور، دلگیر، رنجیده، مکدر، ملول، نژند ، راضی، شادمان"
156,آزرده‌دل," حزین، دل‌آزرده، دلتنگ، دلگیر، غمگین، ملول ، پرنشاط، زنده‌دل"
157,آزرم,"  انفعال، حجب، حیا، خجالت، خجلت، شرم، عار ، ملایمت، ملاطفت، مهربانی، مهر، نرمی ، تقوا، عفت، فضیلت"
158,آزرمگین,"  باحیا، پرآزرم، خجل، شرم‌رو، شرمسار، شرمگین، محجوب ، باتقوا، عفیف ، بی‌حیا"
159,آزگار," تمام، طولانی، کامل"
160,آزمایش,"  آروین، آزمون، امتحان، تجربه، تمرین، مانور، محک، مسابقه، مشق ، محنت ، فتنه"
161,آزمایشگاه, لابراتوار
162,آزمایشگر,"  مجرب ، آزماینده، آزمونگر، ممتحن"
163,آزماینده," آزمایشگر، ممتحن"
164,آزمند," آزناک، آزور، حریص، طماع، طمعکار، مولع ، قانع"
165,آزمندی," آزپیشگی، حرص، طماعی، طمع، طمعکاری، ولع ، قناعت"
166,آزموده,"  باتجربه، پخته، حاذق، خبره، کاردان، کارکشته، کرده‌کار، ماهر، مجرب، ورزیده ، تجربه‌شده، سنجیده ، بی‌تجربه"
167,آزمون,"  آزمایش، امتحان، سنجش ، تجربه، محک ، تست، کنکور، مسابقه ، عبرت"
168,آزور," آزپیشه، آزمند، حریص، طماع، طمع‌کار، مولع ، قانع"
169,آژان,"  پاسبان، پلیس ، نماینده ، عامل، کارگزار"
170,آژانس,"  شعبه، نمایندگی ، عامل، کارگزاری ، خبرگزاری"
171,آژخ," آزخ، زگیل"
172,آژنگ," چروک، چین، شکنج، گره، ماز"
173,آژیر,"  اعلام‌خطر، بانگ، زنگ‌خطر، هشدار ، آگاه، دانا ، پرتوان، زورمند، قوی ، محتاط، محترز"
174,آس,"  آسک، آسیا ، تک ، مورد"
175,آسان,"  ساده، سهل ، میسر ، بی‌رنج، راحت ، بغرنج، دشوار، سخت، شاق، غامض، متعسر، مشکل"
176,آسایش," آرامش، آسودگی، استراحت، ترفیه، تن‌آسانی، تنعم، راحت، راحتی، رفاه، سکون، شادکامی، فراغ، فراغت ، دغدغه، سختی، مشقت، ناآرامی"
177,آسایش‌جو," آسایش‌خواه، آسایش‌طلب، تن‌آسان، راحت‌طلب، عافیت‌طلب ، عافیت‌سوز، مخاطره‌جو"
178,آسایش‌طلب," آسایش‌جو، راحت‌طلب، عافیت‌خواه، عافیت‌طلب ، مخاطره‌جو"
179,آسایشگاه," آسایشگه، استراحتگاه"
180,آستان," آستانه، پیشگاه، جناب، حضرت، حضور، درگاه، عتبه، محضر"
181,آستانه,"  آستان، بارگاه، پیشگاه، جناب، حضرت، درگاه، عتبه، محضر، وصید ، آغاز، مقدمه"
182,آسم," عسرالنفس، نفس‌تنگی"
183,آسمان,"  سپهر، سما، طارم، عرش، فلک، کرسی، گردون ، فضا، هوا ، زمین"
184,آسمان‌جل," آواره، بیچاره، بی‌خانمان، بی‌مکنت، خانه‌بدوش"
185,آسمان‌غره," آسمان‌غرنبه، تندر، رعد، غرش، کنور"
186,آسمانی,"  هوایی ، فلکی ، عرشی، قدسی، ملکوتی ، آبی‌رنگ ، ارضی، خاکی، زمینی"
187,آسودگی," آرامش، آسایش، استراحت، راحت، فراغبالی، فراغت ، اضطراب، تشویش، دغدغه"
188,آسودن,"  آسایش‌کردن، استراحت‌کردن ، آرمیدن، خفتن، خوابیدن ، آرام‌شدن، تسکین‌یافتن"
189,آسوده,"  آرام، راحت ، خاطرجمع، فارغ ، بی‌خیال، فارغ‌البال، فارغ‌بال ، مرفه ، خلاص، سبکبار ، بی‌حرکت، ساکن ، آرمیده ، مرده ، مدفون"
190,آسوده‌خاطر," آسوده‌دل، بی‌تشویش، تامین، خاطرجمع، دل‌آسوده، فارغ‌البال، مطمئن ، مشوش، مضطرب"
191,آسوده‌دل," آسوده‌خاطر، خاطرجمع، فارغ‌البال، مطمئن ، دلواپس، مضطرب"
192,آسوری, آشوری
193,آسه,"  پایه، محور ، آسک، آس، دستاس ، سنگ‌آسیا"
194,آسیا,"  آسیاب، آسک، آس، چرخاب ، طاحنه، کرسی ، "
195,آسیب,"  آفت، بلا ، آزار، خدشه، زخم، صدمه، ضرب، گزند، لطمه ، عیب، نقص ، خسارت، خسران، زیان، ضرر"
196,آسیب‌پذیر," خدشه‌پذیر، خلل‌پذیر، صدمه‌پذیر، گزندپذیر ، آسیب‌ناپذیر"
197,آسیب‌دیده," عیبناک، مخدوش، مصدوم، معیوب، ناقص ، بی‌عیب، سالم، صحیح"
198,آسیستان," دستیار، کمک، معاون"
199,آسیمه,"  آسیون، پریشان، پریشان‌خاطر ، حیران، حیرت‌زده، ژولیده، شگفت‌زده ، شوریده، متحیر، مشوش، نابسامان، وحشتزده، هراسان "
200,آسیمه‌سر," آسیمه‌سار، آسیون، پریشان، حیران، دستپاچه، سرگردان، سرگشته، گیج، متحیر، متزلزل، مشوش، مضطرب، نوان"
201,آش," با، سکبا، شوربا، وا"
202,آشامیدن," خوردن، گساردن، نوش‌کردن، نوشیدن ، تناول‌کردن، خوردن"
203,آشامیدنی," شربت، مشروب، نوشابه، نوشیدنی ، خوردنی"
204,آشپز," پزنده، خوالگیر، خوراک‌پز، خورشگر، دیگ‌پز، طباخ"
205,آشپزخانه," آشخانه، تنورخانه، طباخ‌خانه، مطبخ، مطعم"
206,آشپزی," پخت‌وپز، طباخی، طبخ"
207,آشتی," اصلاح، توافق، سازش، صلح، مسالمت‌جویی، مسالمت، مصالحه ، جدال، ستیز، قهر"
208,آشتی‌خواه," آشتی‌پذیر، آشتی‌جو، آشتی‌طلب، سازشگر، صلحجو، صلح‌طلب، مصلح ، جنگ‌طلب، ستیزه‌جو"
209,آشغال,"  آخال، خاشاک، خاکروبه، زباله، سقط، کثافت، مزبله ، بدردنخور، بنجل ، فاسد، منحرف"
210,آشغالدان," خاکروبه‌دان، زباله‌دان، مزبله، مزبله‌دان"
211,آشفتگی,"  بی‌نظمی، پاشیدگی، پراکندگی، پریشانی ، اختلال، نابسامانی، هرج‌ومرج ، آشوب، اغتشاش، بحران، تلاطم ، شوریدگی، شیفتگی"
212,آشفتن," آشوب‌به‌پاکردن، برآشفتن، به‌هیجان‌آمدن، پریشان‌شدن، خشمگین‌شدن، شوریدن، متلاطم‌شدن، مشوش‌شدن، ناراحت‌شدن"
213,آشفته,"  بی‌سامان، بی‌نظم، پراکنده، درهم، درهم‌برهم، ژولیده، متفرق، متلاطم، مختل، مغشوش، نابسامان، ناجور، نامرتب، نامنظم ، آتشی، پریشان، پریشان‌حال، پریشان‌خاطر، خشمگین، ، رنجیده، ، سراسیمه، شوریده، مشوش، مضطرب، ناراحت، نگران ، آرام، بسامان، مرتب"
214,آشفته‌خاطر," آسیمه‌دل، آشفته‌حال، پریش، پریشان، پریشان‌حال، پریشان‌خاطر، دلواپس، شوریده‌خاطر، مضطرب ، آسوده‌خاطر، آسوده‌خاطری"
215,آشکار," برملا، بی‌پرده، بین، پدیدار، پیدا، پیدا، جلوه‌گر، جلوه‌گر، جلی، جهر، ذایع، رک، روبرو، روشن، صریح، ظاهر، علنی، عیان، فاحش، فاش، مبرهن، محرز، محسوس، مرئی، مشخص، مشهود، معلوم، معین، منجلی، نامستور، نمایان، نمودار، واضح، هویدا ، پوشیده، درخفا، غیب، مخفی، "
216,آشکارا," آشکار، افشا، بی‌پرده، بین، پدیدار، پیدا، جلوت، جهرا، صریح، ظاهر، علانیه، علنا، علنی، علی‌الظاهر، فاش، مرئی، مشهود، معلوم، مکشوف، واضح، هویدا ، پوشیده، درخفا، مخفی، مستور، ناآشکارا، نهانی، نهفته"
217,آشکارایی," آشکاری، بداهت، روشنی، صراحت، وضوح، هویدایی ، پوشیدگی، نهانی، نهفتگی"
218,آشکوب,"  اشکوبه، اشکوب، طبقه، مرتبه ، آسمانه، سقف"
219,آشنا,"  انیس، خودی، خویش، دوست، شناخت، مالوف، مانوس، مونس، یار ، شناسا، شناسنده، عارف ، اخت، خودمانی ، آگاه، بلد، مسبوق، وارد ،  بیگانه ، بیگانه، جاهل ، بیگانه، غیر"
220,آشنایان," اقوام، دوستان، رفقا، محارم ، بیگانگان، غریبه‌ها"
221,آشنایی,"  دوستی، موانست، مودت ، خویشاوندی، قرابت ، آگاهی، شناخت، شناسایی، معارفه ، بیگانگی، غربت"
222,آشوب," اضطراب، اغتشاش، بلوا، بی‌نظمی، تشویش، جنگ، دعوا، شر، شغب، شورش، شوروغوغا، غوغا، فتنه، فساد، مجادله، ناامنی، نزاع، هرج، هرج‌ومرج، هلالوش، هیاهو ، آرامش"
223,آشوب‌طلب," آشوبگر، آنارشیست، اخلالگر، بلواچی، بلواگر، شورشگر، شورشی، غوغاطلب، غوغایی، فتنه‌انگیز، فتنه‌جو، هرج‌ومرج‌طلب ، آرامش‌طلب، سلیم"
224,آشوبگر,"  آشوب‌طلب، اخلالگر، بلواطلب، شورشگر، فتنه‌جو، مخل، ، مفتن، مفسده‌جو، هلالوش‌جو ، دلبر، دلفریب، فتان، فتنه‌انگیز ، آشتی‌طلب، سازشگر، مصلح"
225,آشوبگری," شورشگری، فتانی، فتنه‌انگیزی، فتنه‌جویی ، سلامت‌جویی"
226,آشیان,"  آشیانه، لانه ، کلبه، کومه ، خانه، ماوا، مسکن ، آموت"
227,آشیانه,"  آشیان، کاشانه، لانه، نشیم، نشیمنگاه ، ایستگاه، جایگاه"
228,آغا,"  خادم ، خصی، خواجه ، بی‌بی، بیگم، خاتون ، زن، زوجه ، آقا، ارباب"
229,آغاز," ابتدا، اوان، اوایل، اول، بدایت، بدو، سرآغاز، شروع، عنفوان، فاتحه، مبدا، مطلع، مقدمه، نخست ، پایان"
230,آغازین," ابتدایی، ازلی، اولین، اولیه، بدوی، مقدماتی، نخستین ، انتهایی"
231,آغشتن," آلودن، آمیختن، اختلاط، خیساندن، قاطی‌کردن، مخلوطکردن، نم‌کردن"
232,آغشته,"  آمیخته، قاطی ، مشوب ، آلوده، ملوث ، خیسانده، نم‌کرده"
233,آغل," آخور، اصطبل، باره‌بند، ستورگاه، طویله"
234,آغوش,"  بر، بغل، پهلو، صدر، کنار ، بنده، غلام، کنیز ، قوش"
235,آفاق,"  جهان، دنیا، عالم، گیتی ، افق‌ها، کرانه‌ها ، انفس"
236,آفت," آسیب، بلا، بیماری، زیان، صدمه، فتنه، مصیبت"
237,آفتاب," خور، خورشید، شمس، مهر، هور ، ماهتاب، مهتاب"
238,آفتاب‌پرست,"  حربا، سوسمار ، کافر، مشرک ، گبر، مجوس ، آذرگون، آذریون ، آفتاب‌گردان"
239,آفتاب‌گردان,"  چتر، سایبان ، آفتاب‌پرست، آفتاب‌گردک"
240,آفتابه," ابریق، لولهنگ، مطهره"
241,آفریدگار," آفریننده، الله، ایزد، پروردگار، خالق، خدا، دادار، رب، کردگار، موجد، یزدان ، مخلوق"
242,آفریدن," ابداع، ایجاد، خلق، ساختن"
243,آفریده," خلق، ساخته، مخلوق، مصنوع ، آفریدگار، آفریننده"
244,آفرین,"  دعا، نیایش ، تحسین، تعریف، تمجید، درود، ستایش، مدح ، احسنت، به‌به، حبذا، خوشا، خه‌خه، زه، زهی، مرحبا، مریزاد، وه ، خوشی، خیر، سعادت ، لعن، نفرین"
245,آفرینش,"  ابداع، انشا، تکوین، خلق، خلقت، سرشت، صنع، طبیعت، فطرت، کون، نهاد ، عالم، مخلوقات، هستی"
246,آفرینشگر," خالق، خلاق، صانع، مبدع ، ویرانگر"
247,آفریننده," آفرینشگر، جان‌آفرین، خالق، بادی، سازنده، صانع، مبدع"
248,آقا,"  ارباب، افندی، خداوندگار، خواجه، سرور، سید، صاحب، کارفرما، مالک، مخدوم ، بابا، پدر ، شوهر، همسر ، مخدوم"
249,آقازاده," پسر، پدر، فرزند ، بنده‌زاده"
250,آقایی,"  خواجگی، ریاست، سروری، مهتری، نقابت ، بزرگواری ، بندگی"
251,آکادمیک," دانشگاهی، فرهنگستانی"
252,آک,"  آسیب، آفت، آهو، عیب، وصمت ، بد، شرور، شریر"
253,آکله,"  ابرص، جذام، خوره ، خورنده"
254,آکندگی,"  امتلاء، انباشتگی، پری ، جمعیت ، پرگوشتی ، پراکندگی، خلاء"
255,آکندن,"  انباشتن، پرکردن، لبریزکردن ، تدفین، خاک‌سپاری ، تخلیه"
256,آکنده,"  انباشته، پر، سرشار، لبالب، لبریز، مالامال، مشحون، ممتلی، مملو ، آخور، اصطبل، طویله ، سمین، فربه ، خالی"
257,آکنه,"  آگین، حشو، زائده ، آستر، لایی"
258,آگاه," آشنا، باخبر، بیدار، خبردار، خبره، خبیر، دانا، روشن‌ضمیر، شناسا، عارف، متنبه، متوجه، مخبر، مسبوق، مستحضر، مطلع، ملتفت، نبیه، وارد، واقف، هوشیار ، ناآگاه"
259,آگاه‌کردن,"  آگاهاندن، آگاهانیدن، آگهی‌دادن، خبردادن، خبردارکردن، مستحضر ساختن، مطلع ساختن ، باخبرکردن، بیدارکردن، واقف‌کردن، هوشیار ساختن ، غافل‌کردن"
260,آگاهانیدن," آگاه‌کردن، اخبار، اطلاع‌دادن، اعلام ، بی‌خبرگذاشتن"
261,آگاهی,"  آگهی، اطلاع، خبر، وقوف ، بینش، شناخت، علم، معرفت ، دانایی، روشن‌ضمیری، هوشیاری ، تامینات ، جهالت، غفلت"
262,آگهی,"  اطلاعیه، اعلامیه، اعلان، تبلیغ ، استحضار، اطلاع"
